timestamp,latitude,longitude,altitude,speed,course,hacc
"1653471557999",45.47862,9.22651,162.031,0.635,90.069,"6"
"1653471558999",45.47861,9.22652,161.875,0.638,96.441,"6"
"1653471559999",45.47861,9.22653,161.723,0.641,96.541,"6"
"1653471560999",45.47861,9.22654,161.583,0.635,107.195,"6"
"1653471561999",45.47861,9.22655,161.606,0.629,104.351,"6"
"1653471562999",45.47861,9.22656,161.609,0.625,96.432,"4"
"1653471563999",45.47861,9.22657,161.619,0.626,100.453,"4"
"1653471564999",45.47861,9.22658,161.687,0.637,109.366,"4"
"1653471565999",45.47861,9.22659,161.73,0.634,108.536,"4"
"1653471566999",45.47861,9.22659,161.976,0.643,105.133,"4"
"1653471567999",45.47862,9.22661,162.238,0.643,109.102,"4"
"1653471568999",45.47862,9.22662,162.304,0.634,103.233,"4"
"1653471569999",45.47862,9.22662,162.41,0.628,100.373,"4"
"1653471570999",45.47862,9.22663,162.587,0.616,108.823,"4"
"1653471571999",45.47862,9.22664,162.543,0.496,110.933,"4"
"1653471572999",45.47862,9.22665,162.565,0.507,110.565,"4"
"1653471573999",45.47862,9.22666,162.575,0.479,116.971,"4"
"1653471574999",45.47862,9.22667,162.59,0.474,115.335,"4"
"1653471575999",45.47862,9.22667,162.523,0.462,109.587,"4"
"1653471576999",45.47862,9.22668,162.535,0.363,109.587,"4"
"1653471577999",45.47861,9.22668,162.738,0.279,109.587,"4"
"1653471578999",45.47861,9.22668,162.843,0.226,109.587,"4"
"1653471579999",45.47861,9.22668,162.838,0.17,109.587,"4"
"1653471580999",45.47861,9.22669,162.833,0.157,109.587,"4"
"1653471581999",45.47861,9.22669,162.851,0.357,117.369,"4"
"1653471582999",45.4786,9.2267,162.838,0.285,117.369,"4"
"1653471583999",45.4786,9.22671,162.824,0.429,120.425,"4"
"1653471584999",45.4786,9.22672,162.795,0.509,123.107,"4"
"1653471585999",45.47859,9.22673,162.761,0.503,133.439,"4"
"1653471586999",45.47859,9.22673,162.649,0.565,126.807,"4"
"1653471587999",45.47858,9.22674,162.75,0.606,121.484,"4"
"1653471588999",45.47858,9.22675,162.751,0.476,115.349,"4"
"1653471589999",45.47858,9.22676,162.615,0.494,117.675,"4"
"1653471590999",45.47857,9.22677,162.681,0.609,113.28,"4"
"1653471591999",45.47857,9.22678,162.6,0.64,152.076,"4"
"1653471592999",45.47856,9.22678,162.508,0.642,139.578,"4"
"1653471593999",45.47855,9.22679,162.741,0.637,130.95,"4"
"1653471594999",45.47855,9.22679,162.684,0.656,158.326,"4"
"1653471595999",45.47854,9.2268,162.604,0.681,153.481,"4"
"1653471596999",45.47853,9.2268,162.734,0.691,153.301,"4"
"1653471597999",45.47853,9.22681,162.75,0.69,153.332,"4"
"1653471598999",45.47852,9.22682,162.61,0.697,157.776,"4"
"1653471599999",45.47851,9.22682,162.685,0.698,163.505,"4"
"1653471600999",45.4785,9.22682,162.587,0.695,157.922,"4"
"1653471601999",45.4785,9.22683,162.657,0.698,172.718,"4"
"1653471602999",45.47849,9.22683,162.621,0.695,164.903,"4"
"1653471603999",45.47848,9.22683,162.572,0.683,169.221,"4"
"1653471604999",45.47848,9.22683,162.802,0.683,155.463,"4"
"1653471605999",45.47847,9.22683,162.855,0.674,159.032,"4"
"1653471606999",45.47847,9.22684,162.846,0.452,159.032,"4"
"1653471607999",45.47847,9.22684,162.912,0.287,159.032,"4"
"1653471608999",45.47847,9.22684,162.972,0.055,159.032,"4"
"1653471609999",45.47847,9.22684,162.951,0.023,159.032,"4"
"1653471610999",45.47847,9.22683,162.953,0.006,159.032,"4"
"1653471611999",45.47847,9.22684,162.997,0.067,159.032,"4"
"1653471612999",45.47847,9.22684,163.011,0.209,159.032,"4"
"1653471613999",45.47847,9.22684,163.012,0.059,159.032,"4"
"1653471614999",45.47847,9.22684,163.027,0.172,159.032,"4"
"1653471615999",45.47847,9.22684,163.055,0.351,172.699,"4"
"1653471616999",45.47847,9.22684,163.067,0.235,172.699,"4"
"1653471617999",45.47846,9.22684,163.033,0.214,172.699,"4"
"1653471618999",45.47846,9.22685,162.988,0.276,158.411,"4"
"1653471619999",45.47845,9.22686,162.965,0.268,158.411,"4"
"1653471620999",45.47845,9.22686,162.928,0.407,169.063,"4"
"1653471621999",45.47844,9.22686,162.941,0.587,152.244,"4"
"1653471622999",45.47843,9.22687,162.933,0.665,167.484,"4"
"1653471623999",45.47842,9.22687,162.912,0.55,164.36,"4"
"1653471624999",45.47841,9.22687,162.863,0.417,164.36,"4"
"1653471625999",45.47841,9.22687,162.772,0.432,155.734,"4"
"1653471626999",45.4784,9.22687,162.632,0.497,160.182,"4"
"1653471627999",45.4784,9.22687,162.812,0.511,179.332,"4"
"1653471628999",45.47839,9.22687,162.699,0.507,167.682,"4"
"1653471629999",45.47838,9.22687,162.722,0.415,168.324,"4"
"1653471630999",45.47838,9.22687,162.767,0.435,193.532,"4"
"1653471631999",45.47837,9.22686,162.801,0.545,153.709,"4"
"1653471632999",45.47837,9.22687,162.931,0.466,168.681,"4"
"1653471633999",45.47836,9.22687,162.749,0.442,158.517,"4"
"1653471634999",45.47835,9.22687,162.731,0.472,155.155,"4"
"1653471635999",45.47834,9.22687,162.771,0.497,169.689,"4"
"1653471636999",45.47834,9.22687,162.917,0.447,150.362,"4"
"1653471637999",45.47833,9.22688,162.9,0.416,184.073,"4"
"1653471638999",45.47833,9.22688,162.905,0.456,162.994,"4"
"1653471639999",45.47832,9.22688,162.97,0.467,158.497,"4"
"1653471640999",45.47831,9.22688,162.879,0.501,166.617,"4"
"1653471641999",45.47831,9.22689,162.82,0.607,183.565,"4"
"1653471642999",45.4783,9.22689,162.852,0.592,177.332,"4"
"1653471643999",45.47829,9.22689,162.817,0.598,181.511,"4"
"1653471644999",45.47829,9.2269,162.713,0.605,155.829,"4"
"1653471645999",45.47828,9.2269,162.662,0.502,172.868,"4"
